[2025-04-17 18:36:02] CPU: 0.0% | Mem: 72.9% | Net Sent: 76875486555 B | Net Recv: 127272681597 B
[2025-04-17 18:36:08] CPU: 0.0% | Mem: 73.8% | Net Sent: 76876804840 B | Net Recv: 127640067982 B
[2025-04-17 18:36:14] CPU: 0.4% | Mem: 74.8% | Net Sent: 76877086714 B | Net Recv: 127923287821 B
[2025-04-17 18:36:20] CPU: 0.0% | Mem: 74.7% | Net Sent: 76877224327 B | Net Recv: 128008005806 B
[2025-04-17 18:36:26] CPU: 0.1% | Mem: 75.8% | Net Sent: 76877542211 B | Net Recv: 128398791433 B
[2025-04-17 18:36:32] CPU: 0.0% | Mem: 75.8% | Net Sent: 76877648413 B | Net Recv: 128398915599 B
[2025-04-17 18:36:38] CPU: 0.0% | Mem: 76.8% | Net Sent: 76877948451 B | Net Recv: 128766444743 B
[2025-04-17 18:36:44] CPU: 0.3% | Mem: 78.4% | Net Sent: 76878336172 B | Net Recv: 129134078213 B
[2025-04-17 18:36:50] CPU: 0.0% | Mem: 77.8% | Net Sent: 76878446895 B | Net Recv: 129134207284 B
[2025-04-17 18:36:56] CPU: 0.0% | Mem: 78.9% | Net Sent: 76878776901 B | Net Recv: 129525039949 B
[2025-04-17 18:37:02] CPU: 0.0% | Mem: 78.9% | Net Sent: 76878905515 B | Net Recv: 129525185953 B
[2025-04-17 18:37:08] CPU: 0.2% | Mem: 79.9% | Net Sent: 76882038018 B | Net Recv: 129892181058 B
[2025-04-17 18:37:14] CPU: 0.1% | Mem: 79.8% | Net Sent: 76882247191 B | Net Recv: 129892402839 B
[2025-04-17 18:37:20] CPU: 0.0% | Mem: 80.8% | Net Sent: 76882550751 B | Net Recv: 130259907928 B
[2025-04-17 18:37:26] CPU: 0.3% | Mem: 81.8% | Net Sent: 76882722140 B | Net Recv: 130370487092 B
[2025-04-17 18:37:32] CPU: 0.0% | Mem: 81.9% | Net Sent: 76883015986 B | Net Recv: 130650862788 B
[2025-04-17 18:37:38] CPU: 0.3% | Mem: 83.8% | Net Sent: 76883420552 B | Net Recv: 131018324856 B
[2025-04-17 18:37:44] CPU: 0.1% | Mem: 82.9% | Net Sent: 76883631576 B | Net Recv: 131018549154 B
[2025-04-17 18:37:50] CPU: 0.0% | Mem: 83.9% | Net Sent: 76883897300 B | Net Recv: 131386108163 B
[2025-04-17 18:37:56] CPU: 0.3% | Mem: 85.4% | Net Sent: 76884157089 B | Net Recv: 131753672349 B
[2025-04-17 18:38:02] CPU: 0.0% | Mem: 85.0% | Net Sent: 76884330935 B | Net Recv: 131777087825 B
[2025-04-17 18:38:08] CPU: 0.2% | Mem: 85.9% | Net Sent: 76884862036 B | Net Recv: 131821562530 B
[2025-04-17 18:38:14] CPU: 0.1% | Mem: 86.0% | Net Sent: 76888106782 B | Net Recv: 132144309118 B
[2025-04-17 18:38:20] CPU: 0.4% | Mem: 87.6% | Net Sent: 76888563780 B | Net Recv: 132511747389 B
[2025-04-17 18:38:26] CPU: 0.0% | Mem: 86.9% | Net Sent: 76888673784 B | Net Recv: 132511892455 B
[2025-04-17 18:38:32] CPU: 0.0% | Mem: 88.0% | Net Sent: 76888968429 B | Net Recv: 132902788289 B
[2025-04-17 18:38:38] CPU: 0.3% | Mem: 88.9% | Net Sent: 76889177955 B | Net Recv: 133113278551 B
[2025-04-17 18:38:44] CPU: 0.1% | Mem: 89.0% | Net Sent: 76889475519 B | Net Recv: 133271089245 B
[2025-04-17 18:38:50] CPU: 0.1% | Mem: 90.0% | Net Sent: 76889737965 B | Net Recv: 133638667916 B
[2025-04-17 18:38:56] CPU: 0.1% | Mem: 90.4% | Net Sent: 76889848004 B | Net Recv: 133639196538 B
[2025-04-17 18:39:02] CPU: 0.0% | Mem: 91.1% | Net Sent: 76890125656 B | Net Recv: 134029666512 B
[2025-04-17 18:39:08] CPU: 0.0% | Mem: 91.1% | Net Sent: 76890231644 B | Net Recv: 134029789811 B
[2025-04-17 18:39:14] CPU: 0.4% | Mem: 92.7% | Net Sent: 76894234071 B | Net Recv: 134396845017 B
[2025-04-17 18:39:20] CPU: 0.0% | Mem: 92.0% | Net Sent: 76894340521 B | Net Recv: 134396968859 B
[2025-04-17 18:39:26] CPU: 0.0% | Mem: 93.0% | Net Sent: 76894692788 B | Net Recv: 134764474239 B
[2025-04-17 18:39:32] CPU: 0.3% | Mem: 94.0% | Net Sent: 76894814892 B | Net Recv: 134800991772 B
[2025-04-17 18:39:38] CPU: 0.0% | Mem: 94.1% | Net Sent: 76895017019 B | Net Recv: 135155269780 B
[2025-04-17 18:39:44] CPU: 0.3% | Mem: 95.1% | Net Sent: 76895683299 B | Net Recv: 135522745977 B
[2025-04-17 18:39:50] CPU: 0.0% | Mem: 95.1% | Net Sent: 76895790190 B | Net Recv: 135522872776 B
[2025-04-17 18:39:56] CPU: 0.1% | Mem: 96.1% | Net Sent: 76896211116 B | Net Recv: 135890351825 B
[2025-04-17 18:40:02] CPU: 0.2% | Mem: 96.7% | Net Sent: 76896321236 B | Net Recv: 135890880862 B
[2025-04-17 18:40:08] CPU: 0.0% | Mem: 97.1% | Net Sent: 76896618971 B | Net Recv: 136262320361 B
[2025-04-17 18:40:14] CPU: 0.1% | Mem: 97.1% | Net Sent: 76896831432 B | Net Recv: 136262545552 B
[2025-04-17 18:40:20] CPU: 0.0% | Mem: 97.1% | Net Sent: 76896937556 B | Net Recv: 136262669968 B
