[2025-04-17 18:32:36] CPU: 0.0% | Mem: 17.3% | Net Sent: 247740946750 B | Net Recv: 109477728688 B
[2025-04-17 18:32:42] CPU: 0.4% | Mem: 16.8% | Net Sent: 247741056121 B | Net Recv: 109477855242 B
[2025-04-17 18:32:48] CPU: 0.3% | Mem: 16.4% | Net Sent: 252019190884 B | Net Recv: 109478162620 B
[2025-04-17 18:32:54] CPU: 0.9% | Mem: 17.2% | Net Sent: 252019401600 B | Net Recv: 109478386178 B
[2025-04-17 18:33:00] CPU: 0.4% | Mem: 16.6% | Net Sent: 256042046249 B | Net Recv: 109478601438 B
[2025-04-17 18:33:06] CPU: 0.1% | Mem: 17.5% | Net Sent: 259271291970 B | Net Recv: 109478823723 B
[2025-04-17 18:33:12] CPU: 0.4% | Mem: 16.5% | Net Sent: 260065916965 B | Net Recv: 109478968353 B
[2025-04-17 18:33:18] CPU: 0.1% | Mem: 16.5% | Net Sent: 264211551912 B | Net Recv: 109479205981 B
[2025-04-17 18:33:24] CPU: 0.4% | Mem: 16.6% | Net Sent: 264344907091 B | Net Recv: 109479451814 B
[2025-04-17 18:33:30] CPU: 0.3% | Mem: 16.5% | Net Sent: 268368671821 B | Net Recv: 109479688055 B
[2025-04-17 18:33:36] CPU: 0.1% | Mem: 17.5% | Net Sent: 272393509253 B | Net Recv: 109479926613 B
[2025-04-17 18:33:42] CPU: 0.3% | Mem: 16.4% | Net Sent: 272393617681 B | Net Recv: 109480052988 B
[2025-04-17 18:33:48] CPU: 0.3% | Mem: 16.4% | Net Sent: 276672553153 B | Net Recv: 109480345343 B
[2025-04-17 18:33:54] CPU: 0.9% | Mem: 16.7% | Net Sent: 276672767122 B | Net Recv: 109480573894 B
[2025-04-17 18:34:00] CPU: 0.6% | Mem: 17.4% | Net Sent: 280695271682 B | Net Recv: 109482855147 B
[2025-04-17 18:34:06] CPU: 0.3% | Mem: 16.3% | Net Sent: 280695378938 B | Net Recv: 109482980118 B
[2025-04-17 18:34:12] CPU: 0.4% | Mem: 16.3% | Net Sent: 284717971506 B | Net Recv: 109483199194 B
[2025-04-17 18:34:18] CPU: 0.0% | Mem: 17.2% | Net Sent: 285866303308 B | Net Recv: 109483360715 B
[2025-04-17 18:34:24] CPU: 0.4% | Mem: 16.2% | Net Sent: 288995697815 B | Net Recv: 109483865380 B
[2025-04-17 18:34:30] CPU: 0.0% | Mem: 17.2% | Net Sent: 293018255881 B | Net Recv: 109485428405 B
[2025-04-17 18:34:36] CPU: 0.3% | Mem: 16.2% | Net Sent: 293018379685 B | Net Recv: 109485568944 B
[2025-04-17 18:34:42] CPU: 0.4% | Mem: 16.2% | Net Sent: 297040904147 B | Net Recv: 109487159664 B
[2025-04-17 18:34:48] CPU: 0.1% | Mem: 17.3% | Net Sent: 301063595904 B | Net Recv: 109487382434 B
